"BoxOffDomIA" "Anno" "Sequel" "Tipo" "Fonte" "Metodo_Prod" "Genere" "Rating" "Budget"
"The Woodsman 2004" 1.936403 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"The Women 2008" 29.562307 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 16
"The Wind That Shakes the Barley 2007" 2.097667 2007 0 "Historical Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"The Wild Thornberrys 2002" 53.40236 2002 0 "Kids Fiction" "TV" "Hand Animation" "Avventura" "PG" 25
"The Wild Parrots of Telegraph Hill 2005" 3.763901 2005 0 "Factual" "Real Life Events" "Live Action" "Documentario" "G" NA
"The Wild 2006" 45.03208 2006 0 "Contemporary Fiction" "Original Screenplay" "Digital Animation" "Avventura" "G" 80
"The Widow of St. Pierre 2001" 4.263362 2001 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "R" 13
"The Wicker Man 2006" 29.407979 2006 0 "Contemporary Fiction" "Remake" "Live Action" "Thriller/Suspense" "PG-13" NA
"The Whole Ten Yards 2004" 20.740112 2004 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 30
"The Whole Nine Yards 2000" 83.82209 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 24
"The White Countess 2005" 2.012344 2005 0 "Historical Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 16
"The Wedding Planner 2001" 84.198364 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 28
"The Wedding Date 2005" 38.878007 2005 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG-13" 15
"The Wedding Crashers 2005" 257.524637 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 40
"The Weather Man 2005" 15.348954 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 20
"The Way of the Gun 2000" 8.852982 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" 9
"The Water Horse: Legend of the Deep 2007" 45.447978 2007 0 "Fantasy" "Fiction Source" "Live Action" "Drammatico" "PG" NA
"The Watcher 2000" 42.34503 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 33
"The Wash 2001" 14.071389 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 4
"The War of the Worlds 2005" 288.369109 2005 0 NA "Remake" "Animation/Live Action" "Azione" "PG-13" 132
